Price,Close,High,Low,Open,Volume
3/11/2020,66.75354004,68.15681338,65.88830883,67.22857329,255598800
3/12/2020,60.16131973,65.4375241,60.10557769,62.02992621,418474000
3/13/2020,67.36914063,67.84174791,61.30526258,64.1990595,370732000
3/16/2020,58.70230484,62.79093319,58.16668499,58.63928856,322423600
3/17/2020,61.2834549,62.43466693,57.77891022,59.98682096,324056000
3/18/2020,59.78323746,60.59030071,57.46868723,58.11094664,300233600
3/19/2020,59.32516861,61.2785991,58.7992453,59.95773143,271857200
3/20/2020,55.55888367,61.03382237,55.25835444,59.90684055,401693200
3/23/2020,54.378582,55.37953495,51.52841558,55.27774369,336752800
3/24/2020,59.83412933,60.0304413,56.78522524,57.28448868,287531200
3/25/2020,59.50452423,62.58978134,59.20884326,60.7720723,303602000
3/26/2020,62.63582611,62.69399043,59.70810251,59.74688119,252087200
3/27/2020,60.04256058,62.01295447,59.87533077,61.25678877,204216800
3/30/2020,61.75605774,61.92813582,60.44488274,60.76964956,167976400
3/31/2020,61.63002396,63.61738493,61.07501847,61.94752021,197002000
4/1/2020,58.38722992,60.28007005,57.95582734,59.74202796,176218400
4/2/2020,59.36152267,59.41484243,57.41536267,58.24908573,165934000
4/3/2020,58.50841904,59.54814697,57.91705711,58.84530096,129880000
4/6/2020,63.61253357,63.76764086,60.44002689,60.80841319,201820400
4/7/2020,62.87576675,65.84954353,62.77155321,65.63141252,202887200
4/8/2020,64.48503876,64.80010532,63.31201157,63.67797191,168895200
4/9/2020,64.95037079,65.45448619,64.15300783,65.12245255,161834800
4/13/2020,66.22519684,66.33426234,64.42687351,65.02793194,131022800
4/14/2020,69.56977081,69.86060718,67.38852029,67.86112752,194994800
4/15/2020,68.93479156,69.39527635,68.013822,68.44279864,131154400
4/16/2020,69.48252106,69.84848877,68.43067452,69.64975085,157125200
4/17/2020,68.53974915,69.54555411,67.10012293,68.9978154,215250000
4/20/2020,67.11708832,68.26830407,67.09770268,67.36430149,130015200
4/21/2020,65.0424881,67.1946572,64.32994542,66.95956649,180991600
4/22/2020,66.9159317,67.35217892,65.97072446,66.31244726,116862400
4/23/2020,66.65660858,68.28527634,66.6178299,66.86019113,124814400
4/24/2020,68.58094788,68.59064439,67.13405124,67.18252644,126161200
4/27/2020,68.62940979,68.96144338,67.84900659,68.2973688,117087600
4/28/2020,67.51699829,69.27411747,67.42490722,69.09234652,112004800
4/29/2020,69.73459625,70.20477761,68.80393006,69.00751259,137280800
4/30/2020,71.20571136,71.38263769,69.88484738,70.27504533,183064000
5/1/2020,70.05937195,72.46601751,69.27896839,69.37591141,240616800
5/4/2020,71.05063629,71.17908748,69.39288596,70.08361712,133568000
5/5/2020,72.11701202,72.9507353,71.36569068,71.51110891,147751200
5/6/2020,72.86105347,73.49361269,72.43449536,72.81984881,142333600
5/7/2020,73.6147995,73.96138169,73.18582277,73.48877432,115215200
5/8/2020,75.36694336,75.42040745,73.94772346,74.27579824,133838400
5/11/2020,76.55286407,77.04861391,74.66461535,74.87361404,145946400
5/12/2020,75.6780014,77.6901839,75.55649278,77.23816797,162301200
5/13/2020,74.7642746,76.78132274,73.68527714,75.8578525,200622400
5/14/2020,75.22357941,75.28433373,73.2770084,74.00120265,158929200
5/15/2020,74.77883148,74.82500535,72.95620222,72.99022819,166348400
5/18/2020,76.54071808,76.91496675,75.41312179,76.1057225,135178400
5/19/2020,76.09844208,77.40586894,76.06684864,76.55774093,101729600
5/20/2020,77.57840729,77.64887696,76.91982513,76.95870879,111504800
5/21/2020,77.00002289,77.98181473,76.7618633,77.43988355,102688800
5/22/2020,77.49578857,77.57841356,76.63550528,76.73756839,81803200
5/26/2020,76.9708786,78.79593364,76.91498195,78.61610319,125522000
5/27/2020,77.30620575,77.45201757,76.08626195,76.82746894,112945200
5/28/2020,77.34024048,78.60150061,76.70353646,76.98057228,133560800
5/29/2020,77.26490021,78.04498345,76.90766458,77.58325219,153532400
6/1/2020,78.21511078,78.33661942,77.08750707,77.21873848,80791200
6/2/2020,78.57720184,78.60150505,77.50549481,77.94778801,87642800
6/3/2020,79.00977325,79.27223606,78.32446278,78.89798739,104491200
6/4/2020,78.32933044,79.13128449,77.95508176,78.83237799,87560400
